"merchant","logoUrl"
"! iT Denim","http://img1.prosperent.com/images/brandlogos/120x60/%21%20iT%20Denim.png"
"#","http://img1.prosperent.com/images/brandlogos/120x60/%23.png"
"'Birthday Bitch' Tiara","http://img1.prosperent.com/images/brandlogos/120x60/%27Birthday%20Bitch%27%20Tiara.png"
"'Lindsay Blowhand' Inflatable Love Doll","http://img1.prosperent.com/images/brandlogos/120x60/%27Lindsay%20Blowhand%27%20Inflatable%20Love%20Doll.png"
"(IN) PLACE","http://img1.prosperent.com/images/brandlogos/120x60/%28IN%29%20PLACE.png"
"(TORANI) R TORRE AND CO","http://img1.prosperent.com/images/brandlogos/120x60/%28TORANI%29%20R%20TORRE%20AND%20CO.png"
"****Do Not Use See Leeva200***","http://img1.prosperent.com/images/brandlogos/120x60/%2A%2A%2A%2ADo%20Not%20Use%20See%20Leeva200%2A%2A%2A.png"
"*Accessories Boutique","http://img1.prosperent.com/images/brandlogos/120x60/%2AAccessories%20Boutique.png"
"*Intimates Boutique","http://img1.prosperent.com/images/brandlogos/120x60/%2AIntimates%20Boutique.png"
"*LA Boutique","http://img1.prosperent.com/images/brandlogos/120x60/%2ALA%20Boutique.png"
"*Sole Boutique","http://img1.prosperent.com/images/brandlogos/120x60/%2ASole%20Boutique.png"
"1 Madison","http://img1.prosperent.com/images/brandlogos/120x60/1%20Madison.png"
"1 Sol","http://img1.prosperent.com/images/brandlogos/120x60/1%20Sol.png"
"1 Sol Swim","http://img1.prosperent.com/images/brandlogos/120x60/1%20Sol%20Swim.png"
"1 Sol Swimwear","http://img1.prosperent.com/images/brandlogos/120x60/1%20Sol%20Swimwear.png"
"1-800-baskets.com","http://img1.prosperent.com/images/brandlogos/120x60/1-800-baskets.com.png"
"1-800-flowers.com","http://img1.prosperent.com/images/brandlogos/120x60/1-800-flowers.com.png"
"10 Crosby","http://img1.prosperent.com/images/brandlogos/120x60/10%20Crosby.png"
"10 Deep","http://img1.prosperent.com/images/brandlogos/120x60/10%20Deep.png"
"10 Seconds","http://img1.prosperent.com/images/brandlogos/120x60/10%20Seconds.png"
"10 Spring Street","http://img1.prosperent.com/images/brandlogos/120x60/10%20Spring%20Street.png"
"10 Strawberry Street","http://img1.prosperent.com/images/brandlogos/120x60/10%20Strawberry%20Street.png"
"10-8 Performance","http://img1.prosperent.com/images/brandlogos/120x60/10-8%20Performance.png"
"10.0.6","http://img1.prosperent.com/images/brandlogos/120x60/10.0.6.png"
"10.Deep","http://img1.prosperent.com/images/brandlogos/120x60/10.Deep.png"
"100%","http://img1.prosperent.com/images/brandlogos/120x60/100%25.png"
"100% Pure","http://img1.prosperent.com/images/brandlogos/120x60/100%25%20Pure.png"
"1031 Shoes","http://img1.prosperent.com/images/brandlogos/120x60/1031%20Shoes.png"
"11 After 11","http://img1.prosperent.com/images/brandlogos/120x60/11%20After%2011.png"
"120% Lino","http://img1.prosperent.com/images/brandlogos/120x60/120%25%20Lino.png"
"1224 LLC","http://img1.prosperent.com/images/brandlogos/120x60/1224%20LLC.png"
"123","http://img1.prosperent.com/images/brandlogos/120x60/123.png"
"123 Creations","http://img1.prosperent.com/images/brandlogos/120x60/123%20Creations.png"
"123Creations","http://img1.prosperent.com/images/brandlogos/120x60/123Creations.png"
"123Print","http://img1.prosperent.com/images/brandlogos/120x60/123Print.png"
"12V DALE E NASCAR","http://img1.prosperent.com/images/brandlogos/120x60/12V%20DALE%20E%20NASCAR.png"
"14 Gauge Multi Color Blocks Banana 5 Pack","http://img1.prosperent.com/images/brandlogos/120x60/14%20Gauge%20Multi%20Color%20Blocks%20Banana%205%20Pack.png"
"14th & Union","http://img1.prosperent.com/images/brandlogos/120x60/14th%20%26%20Union.png"
"17/21 GROUP LLC","http://img1.prosperent.com/images/brandlogos/120x60/17%2F21%20GROUP%20LLC.png"
"171570 Canada Inc.","http://img1.prosperent.com/images/brandlogos/120x60/171570%20Canada%20Inc..png"
"180's","http://img1.prosperent.com/images/brandlogos/120x60/180%27s.png"
"180s","http://img1.prosperent.com/images/brandlogos/120x60/180s.png"
"180s Apparel","http://img1.prosperent.com/images/brandlogos/120x60/180s%20Apparel.png"
"1883 by Wolverine","http://img1.prosperent.com/images/brandlogos/120x60/1883%20by%20Wolverine.png"
"1897 SHORTS/CHOR/KC NEW YORK LLC","http://img1.prosperent.com/images/brandlogos/120x60/1897%20SHORTS%2FCHOR%2FKC%20NEW%20YORK%20LLC.png"
"1898 INDEPENDENCIA","http://img1.prosperent.com/images/brandlogos/120x60/1898%20INDEPENDENCIA.png"
"18K White, Yellow & Pink Gold Trinity Bracelet","http://img1.prosperent.com/images/brandlogos/120x60/18K%20White%2C%20Yellow%20%26%20Pink%20Gold%20Trinity%20Bracelet.png"
"18K Yellow Gold 1/3ct TDW Coin Ring (I-J, SI1-SI2)","http://img1.prosperent.com/images/brandlogos/120x60/18K%20Yellow%20Gold%201%2F3ct%20TDW%20Coin%20Ring%20%28I-J%2C%20SI1-SI2%29.png"
"19 Cooper","http://img1.prosperent.com/images/brandlogos/120x60/19%20Cooper.png"
"1901","http://img1.prosperent.com/images/brandlogos/120x60/1901.png"
"191 Piece Socket & Tool Set","http://img1.prosperent.com/images/brandlogos/120x60/191%20Piece%20Socket%20%26%20Tool%20Set.png"
"191 Unlimited","http://img1.prosperent.com/images/brandlogos/120x60/191%20Unlimited.png"
"1928 Jewelry","http://img1.prosperent.com/images/brandlogos/120x60/1928%20Jewelry.png"
"1ST PC CORP.","http://img1.prosperent.com/images/brandlogos/120x60/1ST%20PC%20CORP..png"
"1st Step","http://img1.prosperent.com/images/brandlogos/120x60/1st%20Step.png"
"1st Street","http://img1.prosperent.com/images/brandlogos/120x60/1st%20Street.png"
"1TWO","http://img1.prosperent.com/images/brandlogos/120x60/1TWO.png"
"2 (x) ist","http://img1.prosperent.com/images/brandlogos/120x60/2%20%28x%29%20ist.png"
"2 B Real","http://img1.prosperent.com/images/brandlogos/120x60/2%20B%20Real.png"
"2 Bandits","http://img1.prosperent.com/images/brandlogos/120x60/2%20Bandits.png"
"2 Be Real","http://img1.prosperent.com/images/brandlogos/120x60/2%20Be%20Real.png"
"2 Lips Too","http://img1.prosperent.com/images/brandlogos/120x60/2%20Lips%20Too.png"
"2 Lips Too Kids","http://img1.prosperent.com/images/brandlogos/120x60/2%20Lips%20Too%20Kids.png"
"2 Tween","http://img1.prosperent.com/images/brandlogos/120x60/2%20Tween.png"
"2000 PLUS","http://img1.prosperent.com/images/brandlogos/120x60/2000%20PLUS.png"
"2028 Jewelry","http://img1.prosperent.com/images/brandlogos/120x60/2028%20Jewelry.png"
"20th Century Fox","http://img1.prosperent.com/images/brandlogos/120x60/20th%20Century%20Fox.png"
"2117","http://img1.prosperent.com/images/brandlogos/120x60/2117.png"
"212","http://img1.prosperent.com/images/brandlogos/120x60/212.png"
"213 Industry","http://img1.prosperent.com/images/brandlogos/120x60/213%20Industry.png"
"21King","http://img1.prosperent.com/images/brandlogos/120x60/21King.png"
"22oz","http://img1.prosperent.com/images/brandlogos/120x60/22oz.png"
"24 Hour Fitness","http://img1.prosperent.com/images/brandlogos/120x60/24%20Hour%20Fitness.png"
"24 K Gold Rose","http://img1.prosperent.com/images/brandlogos/120x60/24%20K%20Gold%20Rose.png"
"24-7","http://img1.prosperent.com/images/brandlogos/120x60/24-7.png"
