merchant,logoUrl,minPaymentPercentage,maxPaymentPercentage
*Intimates Boutique,http://img1.prosperent.com/images/logos/120x60/%2AIntimates%20Boutique.png,4,4
*LA Boutique,http://img1.prosperent.com/images/logos/120x60/%2ALA%20Boutique.png,4,4
1-800-BASKETS.COM,http://img1.prosperent.com/images/logos/120x60/1-800-BASKETS.COM.png,4,4
1-800-FLOWERS.COM,http://img1.prosperent.com/images/logos/120x60/1-800-FLOWERS.COM.png,4,4
10 Deep,http://img1.prosperent.com/images/logos/120x60/10%20Deep.png,4,4
10 Strawberry Street,http://img1.prosperent.com/images/logos/120x60/10%20Strawberry%20Street.png,3,3
100% Pure,http://img1.prosperent.com/images/logos/120x60/100%25%20Pure.png,6,6
1000 Bulbs,http://img1.prosperent.com/images/logos/120x60/1000%20Bulbs.png,5,6
101Phones,http://img1.prosperent.com/images/logos/120x60/101Phones.png,4,5
11 After 11,http://img1.prosperent.com/images/logos/120x60/11%20After%2011.png,4,4
123Print,http://img1.prosperent.com/images/logos/120x60/123Print.png,7,7
1800flowers.com,http://img1.prosperent.com/images/logos/120x60/1800flowers.com.png,4,4
1800Pools,http://img1.prosperent.com/images/logos/120x60/1800Pools.png,6,6
1800pools.com,http://img1.prosperent.com/images/logos/120x60/1800pools.com.png,5,5
1928 Jewelry,http://img1.prosperent.com/images/logos/120x60/1928%20Jewelry.png,10,12
1STOPlighting,http://img1.prosperent.com/images/logos/120x60/1STOPlighting.png,5,6
24 Hour Fitness,http://img1.prosperent.com/images/logos/120x60/24%20Hour%20Fitness.png,3,8
2modern,http://img1.prosperent.com/images/logos/120x60/2modern.png,6,6
3balls,http://img1.prosperent.com/images/logos/120x60/3balls.png,5,6
3balls.com,http://img1.prosperent.com/images/logos/120x60/3balls.com.png,5,5
3KissesLingerie,http://img1.prosperent.com/images/logos/120x60/3KissesLingerie.png,8,8
3M,http://img1.prosperent.com/images/logos/120x60/3M.png,3,3
4 All Memory,http://img1.prosperent.com/images/logos/120x60/4%20All%20Memory.png,6,6
4 Wheel Parts,http://img1.prosperent.com/images/logos/120x60/4%20Wheel%20Parts.png,2,6
4checks.com,http://img1.prosperent.com/images/logos/120x60/4checks.com.png,18,20
4FunParties.com,http://img1.prosperent.com/images/logos/120x60/4FunParties.com.png,10,10
4inkjets,http://img1.prosperent.com/images/logos/120x60/4inkjets.png,17,18
4WD,http://img1.prosperent.com/images/logos/120x60/4WD.png,2,5
4WheelParts,http://img1.prosperent.com/images/logos/120x60/4WheelParts.png,4,5
5.11 Tactical Series,http://img1.prosperent.com/images/logos/120x60/5.11%20Tactical%20Series.png,4,5
525America.com,http://img1.prosperent.com/images/logos/120x60/525America.com.png,4,4
599fashion.com,http://img1.prosperent.com/images/logos/120x60/599fashion.com.png,2,2
686,http://img1.prosperent.com/images/logos/120x60/686.png,6,6
6DollarShirts.com,http://img1.prosperent.com/images/logos/120x60/6DollarShirts.com.png,7,8
6pm.com,http://img1.prosperent.com/images/logos/120x60/6pm.com.png,1,6
7 For All Mankind,http://img1.prosperent.com/images/logos/120x60/7%20For%20All%20Mankind.png,3,4
800-Ski-Shop.com,http://img1.prosperent.com/images/logos/120x60/800-Ski-Shop.com.png,6,8
